state,district,net_gw_availability_ham,net_gw_irrigation_ham,stage_pct,category
Karnataka,Gulbarga,63299.0,16699.0,32.0,Safe
Karnataka,Hassan,73593.0,37804.0,55.0,Safe
Karnataka,Haveri,53154.0,31214.0,64.0,Safe
Karnataka,Kodagu,27441.0,5451.0,21.0,Safe
Karnataka,Kolar,31828.0,57766.0,187.0,Over-Exploited
Karnataka,Koppal,54352.0,21625.0,43.0,Safe
Karnataka,Mandya,94103.0,42432.0,47.0,Safe
Karnataka,Mysore,57803.0,23075.0,43.0,Safe
Karnataka,Raichur,83209.0,23232.0,31.0,Safe
Karnataka,Ramanagara,22298.0,19527.0,108.0,Over-Exploited
Karnataka,Shimoga,92549.0,23330.0,27.0,Safe
Karnataka,Tumkur,78424.0,73846.0,100.0,Critical
Karnataka,Udupi,32775.0,9646.0,37.0,Safe
Karnataka,Uttar Kannada,52905.0,16869.0,37.0,Safe
Karnataka,Yadgir,38050.0,9051.0,28.0,Safe
Kerala,Alappuzha,45290.0,2992.0,29.0,Safe
Kerala,Ernakulam,58327.0,10308.0,42.0,Safe
Kerala,Idukki,19655.0,2874.0,43.0,Safe
Kerala,Kannur,48013.0,10943.0,46.0,Safe
Kerala,Kasargod,32889.0,16705.0,71.0,Semi-Critical
Kerala,Kollam,42221.0,4015.0,38.0,Safe
Kerala,Kottayam,44570.0,3491.0,29.0,Safe
Kerala,Kozhikode,34462.0,5200.0,56.0,Safe
Kerala,Malappuram,49555.0,8166.0,57.0,Safe
Kerala,Palakkad,78383.0,35494.0,62.0,Safe
Kerala,Pathanamthitta,25302.0,3463.0,37.0,Safe
Kerala,Thiruvananthapuram,32871.0,3985.0,53.0,Safe
Kerala,Thrissur,68153.0,22167.0,53.0,Safe
Kerala,Waynad,27607.0,652.0,18.0,Safe
Madhya Pradesh,Alirajpur,20565.0,3802.0,29.0,Safe
Madhya Pradesh,Annupur,38155.0,1017.0,6.0,Safe
Madhya Pradesh,Ashoknagar,41959.0,18738.0,48.0,Safe
Madhya Pradesh,Balaghat,91034.0,9620.0,14.0,Safe
Madhya Pradesh,Barwani,41301.0,26800.0,72.0,Semi-Critical
Madhya Pradesh,Betul,113959.0,55565.0,52.0,Safe
Madhya Pradesh,Bhind,62673.0,22632.0,41.0,Safe
Madhya Pradesh,Bhopal,37266.0,25719.0,75.0,Semi-Critical
Madhya Pradesh,Burhanpur,32373.0,23504.0,76.0,Semi-Critical
Madhya Pradesh,Chhatarpur,74839.0,47508.0,67.0,Safe
Madhya Pradesh,Chhindwara,132627.0,64955.0,53.0,Safe
Madhya Pradesh,Damoh,40106.0,22861.0,62.0,Safe
Madhya Pradesh,Datia,33018.0,14598.0,48.0,Safe
Madhya Pradesh,Dewas,83264.0,65523.0,82.0,Semi-Critical
Madhya Pradesh,Dhar,97867.0,75257.0,82.0,Semi-Critical
Madhya Pradesh,Dindori,42611.0,1857.0,8.0,Safe
Madhya Pradesh,Guna,75002.0,38689.0,55.0,Safe
Madhya Pradesh,Gwalior,50187.0,19710.0,43.0,Safe
Madhya Pradesh,Harda,51026.0,13730.0,29.0,Safe
Madhya Pradesh,Hoshangabad,203145.0,35051.0,19.0,Safe
Madhya Pradesh,Indore,57084.0,65109.0,120.0,Over-Exploited
Madhya Pradesh,Jabalpur,59126.0,25989.0,49.0,Safe
Madhya Pradesh,Jhabua,22053.0,7657.0,45.0,Safe
Madhya Pradesh,Katni,39015.0,13404.0,41.0,Safe
Madhya Pradesh,Khandwa,79627.0,46898.0,62.0,Safe
Madhya Pradesh,Khargone,75658.0,53171.0,75.0,Semi-Critical
Madhya Pradesh,Mandla,55672.0,6218.0,15.0,Safe
Madhya Pradesh,Mandsaur,57221.0,51972.0,96.0,Critical
Madhya Pradesh,Morena,60885.0,20623.0,41.0,Safe
Madhya Pradesh,Narsinghpur,116545.0,85929.0,76.0,Semi-Critical
Madhya Pradesh,Neemuch,40656.0,32094.0,83.0,Semi-Critical
Madhya Pradesh,Panna,51897.0,11531.0,26.0,Safe
Madhya Pradesh,Raisen,90262.0,37095.0,45.0,Safe
Madhya Pradesh,Rajgarh,86590.0,68296.0,83.0,Semi-Critical
Madhya Pradesh,Ratlam,73687.0,90218.0,126.0,Over-Exploited
Madhya Pradesh,Rewa,46942.0,20570.0,54.0,Safe
Madhya Pradesh,Sagar,122647.0,69993.0,59.0,Safe
Madhya Pradesh,Satna,54162.0,35041.0,74.0,Semi-Critical
Madhya Pradesh,Sehore,74999.0,55106.0,77.0,Semi-Critical
Madhya Pradesh,Seoni,70970.0,17504.0,29.0,Safe
Madhya Pradesh,Shahdol,64469.0,2305.0,7.0,Safe
Madhya Pradesh,Shajapur,98902.0,93239.0,98.0,Critical
Madhya Pradesh,Sheopur,42376.0,14218.0,37.0,Safe
Madhya Pradesh,Shivpuri,74690.0,47917.0,68.0,Safe
Madhya Pradesh,Sidhi,34195.0,10705.0,38.0,Safe
Madhya Pradesh,Singrauli,35680.0,8555.0,30.0,Safe
Madhya Pradesh,Tikamgarh,55672.0,37827.0,72.0,Semi-Critical
Madhya Pradesh,Ujjain,91088.0,83560.0,95.0,Critical
Madhya Pradesh,Umaria,44067.0,3661.0,11.0,Safe
Madhya Pradesh,Vidisha,89045.0,44543.0,54.0,Safe
Maharashtra,Ahmednagar,186132.0,148892.0,82.0,Semi-Critical
Maharashtra,Akola,39979.0,16785.0,45.0,Safe
Maharashtra,Amravati,89950.0,57902.0,68.0,Safe
Maharashtra,Aurangabad,113647.0,78500.0,72.0,Semi-Critical
Maharashtra,Beed,134803.0,64172.0,51.0,Safe
Maharashtra,Bhandara,51409.0,14675.0,33.0,Safe
Maharashtra,Buldhana,94162.0,62735.0,70.0,Semi-Critical
Maharashtra,Chandrapur,103770.0,9663.0,16.0,Safe
Maharashtra,Dhule,70205.0,34596.0,52.0,Safe
Maharashtra,Gadchiroli,91562.0,20225.0,25.0,Safe
Maharashtra,Gondia,60611.0,8788.0,20.0,Safe
Maharashtra,Hingoli,102390.0,36370.0,37.0,Safe
Maharashtra,Jalgaon,136193.0,104164.0,81.0,Semi-Critical
Maharashtra,Jalna,90506.0,46874.0,53.0,Safe
Maharashtra,Kolhapur,117907.0,46927.0,41.0,Safe
Maharashtra,Latur,72014.0,52215.0,75.0,Semi-Critical
Maharashtra,Nagpur,107038.0,51179.0,52.0,Safe
Maharashtra,Nanded,134461.0,43379.0,35.0,Safe
Maharashtra,Nandurbar,48614.0,22122.0,50.0,Safe
Maharashtra,Nashik,191532.0,107175.0,58.0,Safe
Maharashtra,Osmanabad,101277.0,71082.0,72.0,Semi-Critical
Maharashtra,Parbhani,91878.0,39446.0,45.0,Safe
Maharashtra,Pune,173304.0,119523.0,73.0,Semi-Critical
Maharashtra,Raigad,59425.0,5795.0,13.0,Safe
Maharashtra,Ratnagiri,45670.0,3986.0,11.0,Safe
Maharashtra,Sangli,89480.0,71147.0,83.0,Semi-Critical
Maharashtra,Satara,103351.0,70465.0,73.0,Semi-Critical
Maharashtra,Sindhudurg,26238.0,7771.0,37.0,Safe
Maharashtra,Solapur,159216.0,117997.0,77.0,Semi-Critical
Maharashtra,Thane,58132.0,6341.0,13.0,Safe
Maharashtra,Wardha,82472.0,34445.0,46.0,Safe
Maharashtra,Washim,55969.0,19884.0,38.0,Safe
Maharashtra,Yeotmal,131890.0,19385.0,19.0,Safe
Manipur,Imphal West-I Block,4520.21,93.0,2.64,Safe
Manipur,Imphal West-Ii Block,3211.74,12.0,0.5,Safe
Manipur,Imphal East-I Block,4024.54,6.0,0.2,Safe
Manipur,Imphal East-Ii Block,7470.14,27.0,0.46,Safe
Manipur,Thoubal Block,4917.36,33.0,0.8,Safe
Manipur,Kakching Block,5155.87,57.0,1.21,Safe
Manipur,Bishnupur District,7142.23,30.0,0.56,Safe
Manipur,Churachandpur District,3168.11,75.0,2.69,Safe
Meghalaya,East Khasi Hills,33537.0,0.0,0.018,Safe
Meghalaya,West Garo Hills,48909.0,150.0,0.314,Safe
Meghalaya,East Garo Hills,35939.0,0.0,0.005,Safe
Meghalaya,Jaintia Hills,29505.0,0.0,0.007,Safe
Meghalaya,West Khasi Hills,5637.0,0.0,0.036,Safe
Meghalaya,Ri-Bhoi,5144.0,0.0,0.024,Safe
Meghalaya,South Garo Hills,1573.0,0.0,0.043,Safe
Mizoram,Aizawl,280.0,0.0,7.46,Safe
Mizoram,Champhai,626.0,0.0,2.54,Safe
Mizoram,Kolasib,382.0,0.0,2.07,Safe
Mizoram,Lawngtalai,521.0,0.0,1.64,Safe
Mizoram,Lunglei,196.0,0.0,11.93,Safe
Mizoram,Mamit,293.0,0.0,2.41,Safe
Mizoram,Saiha,246.0,0.0,1.06,Safe
Mizoram,Serchipp,189.0,0.0,5.29,Safe
Nagaland,Kohima,4379.0,0.0,12.9,Safe
Nagaland,Dimapur,22388.0,0.0,3.8,Safe
Nagaland,Phek,3146.0,0.0,7.6,Safe
Nagaland,Mokokchung,5662.0,0.0,5.1,Safe
Nagaland,Zunheboto,2243.0,0.0,9.2,Safe
Nagaland,Wokha,4681.0,0.0,5.2,Safe
Nagaland,Tuensang,10400.0,0.0,6.2,Safe
Nagaland,Mon,2533.0,0.0,14.5,Safe
Odisha,Angul,46077.0,12388.0,34.0,Safe
Odisha,Balasore,110063.0,52195.0,53.0,Safe
Odisha,Bargarh,46054.0,8607.0,26.0,Safe
Odisha,Bhadrak,45409.0,23995.0,59.0,Safe
Odisha,Bolangir,57656.0,10045.0,23.0,Safe
Odisha,Boudh,27839.0,4698.0,20.0,Safe
Odisha,Cuttack,70716.0,20774.0,38.0,Safe
Odisha,Deogarh,20629.0,2657.0,16.0,Safe
Odisha,Dhenkanal,44264.0,8724.0,26.0,Safe
Odisha,Gajapati,22670.0,5081.0,27.0,Safe
Odisha,Ganjam,114541.0,27508.0,30.0,Safe
Odisha,Jagatsinghpur,45029.0,21234.0,52.0,Safe
