state,district,monsoon_recharge_rainfall,monsoon_recharge_other,nonmonsoon_recharge_rainfall,nonmonsoon_recharge_other,total_recharge_ham,natural_discharge_ham,net_gw_availability_ham,gw_draft_irrigation_ham,gw_draft_domestic_ind_ham,gw_draft_total_ham,projected_demand_2025_ham,net_gw_future_irrigation_ham,stage_pct,category
Tamil Nadu,Tirunelveli,21648.0,63404.0,9167.0,4482.0,98702.0,9870.0,88832.0,48721.0,2941.0,51662.0,3262.0,36849.0,58.0,Safe
Tamil Nadu,Tiruppur,19141.0,14243.0,5060.0,10805.0,49250.0,4925.0,44325.0,52448.0,3801.0,56248.0,3676.0,-11799.0,127.0,Over-Exploited
Tamil Nadu,Tiruvarur,14476.0,12448.0,1977.0,4410.0,33311.0,3331.0,29980.0,20077.0,1343.0,21420.0,1527.0,8376.0,71.0,Semi-Critical
Tamil Nadu,Tirvannamalai,40015.0,66707.0,5000.0,9760.0,121482.0,12148.0,109334.0,87993.0,4444.0,92437.0,4972.0,16369.0,85.0,Semi-Critical
Tamil Nadu,Trichy,22721.0,45849.0,5931.0,6121.0,80622.0,8062.0,72560.0,49777.0,7339.0,57115.0,2727.0,20056.0,79.0,Semi-Critical
Tamil Nadu,Vellore,26695.0,29555.0,4974.0,4643.0,65867.0,6587.0,59280.0,53833.0,8311.0,62144.0,9304.0,-3857.0,105.0,Over-Exploited
Tamil Nadu,Villupuram,51439.0,100300.0,6558.0,8178.0,166475.0,16648.0,149828.0,148243.0,5691.0,153935.0,6453.0,-4869.0,103.0,Over-Exploited
Tamil Nadu,Virudhunagar,16818.0,22390.0,6888.0,8925.0,55021.0,5502.0,49519.0,32236.0,1950.0,34186.0,2481.0,14802.0,69.0,Safe
Tripura,West Tripura,48816.0,0.0,21602.0,25363.0,95781.0,8084.0,87697.0,7134.0,3104.0,10238.0,8463.0,72100.0,12.0,Safe
Tripura,South Tripura,37250.0,0.0,21170.0,17420.0,75840.0,7027.0,68813.0,1980.0,1725.0,3705.0,5622.0,61211.0,5.0,Safe
